iter	MAE	RMSE
840	0.5921481087	0.7899828311
841	0.5921431712	0.7899748491
842	0.5920048931	0.7898573623
843	0.5919546268	0.7898167676
844	0.5919487478	0.7898138191
845	0.5919300313	0.7897849627
846	0.5919216524	0.7897758206
847	0.5919169218	0.789754606
848	0.591803631	0.7896811631
849	0.5916639197	0.7895484412
850	0.5916370012	0.7894941248
851	0.5915557955	0.7894302091
852	0.5915414166	0.7893913771
853	0.5914981831	0.7893119615
854	0.5914842359	0.7892840687
855	0.5914767155	0.7892719046
856	0.5914632031	0.7892410047
857	0.5914292325	0.7891875134
858	0.5914343557	0.78918038
859	0.591329899	0.789120873
860	0.5913132118	0.7890975188
861	0.5913029461	0.7890764065
862	0.5912910445	0.7890656591
863	0.5912868868	0.7890508674
864	0.5912689024	0.7890281215
865	0.5912121736	0.7889602649
866	0.5910862779	0.7887978658
867	0.5910421741	0.7887554376
868	0.5910277983	0.7887342247
869	0.5909720835	0.7887028759
870	0.590945617	0.7886569464
871	0.5908334619	0.7885703354
872	0.5907197783	0.7884182717
873	0.5906019561	0.7882309944
874	0.5905828587	0.7881938215
875	0.5905671244	0.7881700585
876	0.5905397767	0.7881126972
877	0.5905214264	0.7880709138
878	0.5904866606	0.7880429688
879	0.5904149237	0.7879987534
